127.0.0.1 - - [08/Apr/2020:16:14:31 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Login.jsp HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19680
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/css/util.css HTTP/1.1" 200 83821
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/css/main.css HTTP/1.1" 200 7886
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/js/main.js HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:14:32 +0200] "GET /Votechain/Styles/fonts/ubuntu/Ubuntu-Bold.ttf HTTP/1.1" 200 331612
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:15:37 +0200] "POST /Votechain/Login HTTP/1.1" 200 3310
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:15:40 +0200] "POST /Votechain/ChoixMenuElecteur HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:15:40 +0200] "GET /Votechain/Styles/fonts/ubuntu/Ubuntu-Regular.ttf HTTP/1.1" 200 351884
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:15:43 +0200] "POST /Votechain/ChoixMenuElecteur HTTP/1.1" 200 3310
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:15:44 +0200] "POST /Votechain/ChoixMenuElecteur HTTP/1.1" 200 5815
0:0:0:0:0:0:0:1 - - [08/Apr/2020:16:15:47 +0200] "POST /Votechain/ChoixMenuElecteur HTTP/1.1" 200 3310
